"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CDC42SE1",1.52580467150996e-07,0.332994840023317,0.505,0.391,0.00344816597714535,"6","CDC42SE1",0.114
"CHD91",1.7036160870342e-07,0.347522088666328,0.356,0.234,0.0038500019950886,"6","CHD9",0.122
"ITGB71",2.11465034429249e-07,0.275398915923126,0.375,0.238,0.0047788983130666,"6","ITGB7",0.137
"PDCD4",2.39925672562567e-07,0.348559581049745,0.579,0.504,0.00542208027424145,"6","PDCD4",0.075
"HLA-F1",2.49615485578151e-07,0.270513960201927,0.736,0.654,0.00564106035858064,"6","HLA-F",0.082
"CELF22",2.58308739568664e-07,0.280049011340455,0.556,0.422,0.00583751920551223,"6","CELF2",0.134
"HIST1H1E",2.6321306352792e-07,0.38392442542547,0.454,0.331,0.00594835202266746,"6","HIST1H1E",0.123
"TMX41",2.80635237825877e-07,0.304116934817518,0.356,0.226,0.00634207573962699,"6","TMX4",0.13
"TSEN541",4.74887516168376e-07,0.262038124395922,0.366,0.237,0.0107319829778891,"6","TSEN54",0.129
"CMTM61",4.79736809470494e-07,0.340398817057586,0.491,0.378,0.0108415721572237,"6","CMTM6",0.113
"GRK6",5.34268654928903e-07,0.318866463031011,0.407,0.281,0.0120739373327383,"6","GRK6",0.126
"DNAJC11",5.4999447602723e-07,0.251823536941707,0.394,0.259,0.0124293251637394,"6","DNAJC1",0.135
"CDC421",7.48478115628703e-07,0.295189927004404,0.69,0.639,0.0169148569350931,"6","CDC42",0.0509999999999999
"SERPINB12",8.99487836241742e-07,0.267665005874524,0.593,0.481,0.0203275256112271,"6","SERPINB1",0.112
"NDUFS8",9.34250202044376e-07,0.25851018519707,0.588,0.494,0.0211131203160009,"6","NDUFS8",0.094
"NFKBIZ1",9.66501425532029e-07,0.372591167430534,0.394,0.284,0.0218419657155983,"6","NFKBIZ",0.11
"SEPT72",1.00143619071636e-06,0.28913127420921,0.477,0.34,0.0226314564739989,"6","SEPT7",0.137
"PRKACB",1.07024502336777e-06,0.265481328258793,0.398,0.271,0.0241864672830883,"6","PRKACB",0.127
"PCMTD1",1.57818821493243e-06,0.350906172736984,0.347,0.239,0.0356654754692581,"6","PCMTD1",0.108
"SACM1L",2.13310453679223e-06,0.276676632230682,0.269,0.163,0.0482060294269676,"6","SACM1L",0.106
"JCHAIN1",0,3.96557311676585,0.916,0.065,0,"7","JCHAIN",0.851
"IGLV2-18",0,2.38029484182828,0.412,0.01,0,"7","IGLV2-18",0.402
"IGLV2-11",0,1.27729970498899,0.378,0.005,0,"7","IGLV2-11",0.373
